dataset,model,model_key,method,metric,real,mean_sim,std_sim,ci_low,ci_high,p_value,reject,n_sims
bio-CE-PG,Chung–Lu,CL,PARABDG,C3_global,0.2465664397327217,0.1786395442622534,0.0035307394093095,0.1719080206014729,0.1863064733592366,0.0198019801980198,True,100
bio-CE-PG,Chung–Lu,CL,PARABDG,C3_avg_local,0.1221576646808128,0.1682580568754726,0.004441332851025,0.1599104294042299,0.1774534820290371,0.0198019801980198,True,100
bio-CE-PG,Stochastic Block Model,SBM,EDGEIND,gcc,0.3208356459697971,0.2577176017332322,0.001609272933186,0.2550919357568029,0.2607769759508291,0.0198019801980198,True,100
bio-CE-PG,Stochastic Block Model,SBM,EDGEIND,alcc,0.4466932007590472,0.2006902480866484,0.0018734781166817,0.1976447302996068,0.2047432528231062,0.0198019801980198,True,100
bio-CE-PG,Stochastic Block Model,SBM,EDGEIND,k4_count,9608852.0,2815811.65,80767.2118725423,2678357.775,2954079.825,0.0198019801980198,True,100
bio-CE-PG,Stochastic Block Model,SBM,EDGEIND,k4_density,2.82372517268864e-05,8.47972781065323e-06,2.619040368414687e-07,8.029090243827621e-06,8.96040285178959e-06,0.0198019801980198,True,100
bio-CE-PG,Stochastic Block Model,SBM,EDGEIND,C3_global,0.2465664397327217,0.1352545261775863,0.0018902399054523,0.1318969501263105,0.1386822699937208,0.0198019801980198,True,100
bio-CE-PG,Stochastic Block Model,SBM,EDGEIND,C3_avg_local,0.1221576646808128,0.0403641610259594,0.0006371577427168,0.039144105267066,0.041600234354325,0.0198019801980198,True,100
bio-CE-PG,Stochastic Block Model,SBM,LOCLBDG,gcc,0.3208356459697971,0.3263665064596167,0.0288237284417527,0.2804967948459806,0.3982342999412228,0.9504950495049505,False,100
bio-CE-PG,Stochastic Block Model,SBM,LOCLBDG,alcc,0.4466932007590472,0.4158082309308471,0.0420032026105999,0.3389118982645589,0.4883950542306536,0.5148514851485149,False,100
bio-CE-PG,Stochastic Block Model,SBM,LOCLBDG,k4_count,9608852.0,8025649.39,4390709.591832536,3274525.9,22398905.799999997,0.6138613861386139,False,100
bio-CE-PG,Stochastic Block Model,SBM,LOCLBDG,k4_density,2.82372517268864e-05,7.610396900057481e-05,3.6349126413978285e-05,3.2176533387670015e-05,0.0001690765851774,0.0594059405940594,False,100
bio-CE-PG,Stochastic Block Model,SBM,LOCLBDG,C3_global,0.2465664397327217,0.2250952283945994,0.0397866897976813,0.1746191371959325,0.3343046909882963,0.396039603960396,False,100
