n_nodes,n_edges,triangles,gcc,alcc,k4,C3,model,method
120,212,20,0.08391608391608392,0.07384626690182247,0.0,0.0,SBM,dropout
120,194,9,0.04599659284497445,0.05746031746031746,0.0,0.0,SBM,dropout
120,212,23,0.09224598930481283,0.09696632547099836,0.0,0.0,SBM,dropout
120,185,9,0.04981549815498155,0.06296296296296296,0.0,0.0,SBM,dropout
120,199,21,0.10047846889952153,0.11809986130374478,0.0,0.0,SBM,dropout
120,199,14,0.061764705882352944,0.055822725129655824,0.0,0.0,SBM,dropout
120,51,0,0.0,0.0,0.0,0.0,SBM,degree_bias
120,41,0,0.0,0.0,0.0,0.0,SBM,degree_bias
120,34,0,0.0,0.0,0.0,0.0,SBM,degree_bias
120,48,0,0.0,0.0,0.0,0.0,SBM,degree_bias
120,49,0,0.0,0.0,0.0,0.0,SBM,degree_bias
120,54,0,0.0,0.0,0.0,0.0,SBM,degree_bias
120,41,0,0.0,0.0,0.0,0.0,SBM,degree_bias
120,46,0,0.0,0.0,0.0,0.0,SBM,degree_bias
120,57,0,0.0,0.0,0.0,0.0,SBM,degree_bias
120,52,2,0.0967741935483871,0.11309523809523811,0.0,0.0,SBM,degree_bias
120,128,16,0.07453416149068323,0.10382326007326007,0.0,0.0,Kronecker,base
120,125,10,0.048154093097913325,0.09156527682843472,0.0,0.0,Kronecker,base
120,120,14,0.07082630691399663,0.08081467143967143,1.0,0.04918032786885246,Kronecker,base
120,114,9,0.060810810810810814,0.05561321394654728,0.0,0.0,Kronecker,base
120,126,19,0.10836501901140684,0.08146735742889587,2.0,0.06779661016949153,Kronecker,base
120,126,11,0.06111111111111111,0.06406926406926407,0.0,0.0,Kronecker,base
120,117,4,0.026030368763557483,0.03987836063307761,0.0,0.0,Kronecker,base
120,132,7,0.03896103896103896,0.054923620440861805,0.0,0.0,Kronecker,base
120,122,13,0.0724907063197026,0.11420074696545285,0.0,0.0,Kronecker,base
120,122,10,0.05474452554744526,0.0890248116663211,0.0,0.0,Kronecker,base
120,66,2,0.033707865168539325,0.018464868464868466,0.0,0.0,Kronecker,dropout
120,53,2,0.05555555555555555,0.06868131868131869,0.0,0.0,Kronecker,dropout
120,57,2,0.045454545454545456,0.06323809523809523,0.0,0.0,Kronecker,dropout
120,69,2,0.03389830508474576,0.08640955004591368,0.0,0.0,Kronecker,dropout
120,60,3,0.06521739130434782,0.09184149184149183,0.0,0.0,Kronecker,dropout
120,55,1,0.02912621359223301,0.013333333333333334,0.0,0.0,Kronecker,dropout
120,66,0,0.0,0.0,0.0,0.0,Kronecker,dropout
120,60,4,0.08275862068965517,0.12959183673469388,0.0,0.0,Kronecker,dropout
120,77,4,0.05,0.03482443482443482,0.0,0.0,Kronecker,dropout
